created_at,language,likes,retweets,text
6/13/2020 21:09,en,0,26788,RT @JackPosobiec: BREAKING: Group of Antifa holds down a street preacher as he screams â€˜Youâ€™re choking meâ€™ in Seattle Autonomous Zone httpsâ€¦
6/13/2020 21:09,en,0,32588,"RT @realDonaldTrump: On behalf of our entire nation, CONGRATULATIONS to the incredible West Point Class of 2020! https://t.co/mXBXmRDBbP"
6/13/2020 21:08,und,0,10933,RT @thejtlewis: @realDonaldTrump https://t.co/W7L9kCZK3T
6/13/2020 20:33,en,152238,32588,"On behalf of our entire nation, CONGRATULATIONS to the incredible West Point Class of 2020! https://t.co/mXBXmRDBbP"
6/13/2020 12:24,en,469154,72501,MAKE AMERICA GREAT AGAIN!
6/13/2020 12:23,en,267661,43932,LAW &amp; ORDER!
6/13/2020 11:57,und,59138,11128,10:00 A.M. https://t.co/TGUVzlT0My
6/13/2020 11:54,en,0,8711,"RT @NickAdamsinUSA: America can NEVER become a socialist nation.

I am incredibly excited for the next big @DineshDSouza movie to be releasâ€¦"
6/13/2020 11:53,en,81763,19967,So true! https://t.co/CSjsY2v3ex
6/13/2020 11:53,en,37202,7311,Happy Birthday Matt. GREAT JOB! https://t.co/5fLrS7F3DE
6/13/2020 11:51,en,67574,19795,"Thank you Frank. Fredoâ€™s ratings are really bad, more than 50% down. A loser!!! https://t.co/DGaSYhqJVj"
6/13/2020 11:49,en,0,7152,"RT @SecretsBedard: Majority agree @realDonaldTrump will beat Biden, 51%-43%, @TheZogbyPoll 
Trump base strong, owns union workers, and alsoâ€¦"
6/13/2020 11:48,en,0,11724,"RT @parscale: Joe Biden put @AOC in charge of his radical $93 TRILLION Green New Deal task force.

AOC and Biden's extremist agenda will ENâ€¦"
6/13/2020 11:48,en,61158,19520,They want to totally destroy our great Police Departments. No way!!! https://t.co/pN1azBRVT5
6/13/2020 11:46,en,0,8056,"RT @BorisEP: My Op-Ed â¦@Newsweek:

Democrats' Hypocrisy on Riots Reveals Political Nature of Coronavirus Lockdowns | Opinion https://t.co/7â€¦"
6/13/2020 11:46,en,0,10846,"RT @TrumpWarRoom: WATCH: Joe Biden senior advisor says she â€œdoes not enjoyâ€ being asked about Bidenâ€™s support for the 1994 crime bill. 

Biâ€¦"
6/13/2020 11:46,en,0,7138,"RT @ErinMPerrine: #BarelyThereBiden has some shady folks on his VP list

Warren â€” lied about her heritage
Rice â€” lied about Russian collusiâ€¦"
6/13/2020 11:45,en,0,27885,RT @TeamTrump: There are three types of people... https://t.co/Zzl9jebV7c
6/13/2020 11:45,en,0,10754,RT @WhiteHouse: The greatest economy in history is coming back! ðŸ‡ºðŸ‡¸ https://t.co/Y5m3WdMaWj
6/13/2020 11:44,en,0,14983,"RT @DineshDSouza: The socialist Left, along with their allies in Antifa and in the mainstream media, seeks to beat us into submission.

Butâ€¦"
6/13/2020 11:43,en,0,9334,RT @NickAdamsinUSA: Joe Biden is not okay. https://t.co/vE3zE248ja
6/13/2020 11:41,en,31918,7364,Thank you Nick. Hear the book is doing well (go get it everyone. Make this great writer number one!). https://t.co/SM7xBuuwPe
6/13/2020 11:36,en,109687,17358,Soon heading to West Point Graduation to give the Commencement Address. Will be shown live on @FoxNews plus. Enjoy!
6/13/2020 11:29,en,38183,10138,Concast is known for its terrible service. On top of that they provide FAKE NEWS on MSDNC &amp; @NBCNews. Drop them andâ€¦ https://t.co/DAqJ0Dj4Kr
6/13/2020 11:23,en,0,6522,RT @cottensj: Texas is 100% Trump Country!
6/13/2020 11:22,en,44468,11806,We are getting the Commercial Fishing Industry in Maine back on track (will be better than ever) after suffering yeâ€¦ https://t.co/6nLFPzSV3o
6/13/2020 11:15,en,52475,13621,Criminal Justice Reform. I got it done!!! https://t.co/HsaYwWuvUE
6/13/2020 11:14,en,0,6595,"RT @WhiteHouse: ""Opportunity Zones is more than just a program. 

It's more than just a concept. 

It is a mission."" â€”@ScottTurner45 https:â€¦"
6/13/2020 11:13,en,0,6780,RT @JHorstman45: From @JaRonSmith45: â€œWhat the President is doing is listening to law enforcement &amp; stakeholders on both sides &amp; figuring oâ€¦
6/13/2020 11:12,en,0,4930,RT @MalloryBlount45: â€œPeople are looking for hopeâ€” something to unify this country. Thatâ€™s exactly what this President is doing.â€ @JaRonSmiâ€¦
6/13/2020 11:12,en,57275,15589,Thank you Jack! https://t.co/i3h7Yd8nLG
6/13/2020 3:23,en,103669,17510,"...We have already had ticket requests in excess of 200,000 people. I look forward to seeing everyone in Oklahoma!"
6/13/2020 3:23,en,98641,16784,"...of respect for this Holiday, and in observance of this important occasion and all that it represents. I have theâ€¦ https://t.co/UXXmEtwCjl"
6/13/2020 3:23,en,129947,25198,"We had previously scheduled our #MAGA Rally in Tulsa, Oklahoma, for June 19th â€“ a big deal. Unfortunately, however,â€¦ https://t.co/guyHQndvHi"
6/13/2020 3:20,en,53672,9597,"...rebuilding Americaâ€™s infrastructure with projects like the Portal North Bridge, which I have given authorization to proceed!"
6/13/2020 3:20,en,76679,14299,"Just finished dinner in Bedminster, New Jersey, with Governor Phil Murphy (@GovMurphy) and his wonderful wife, Tammâ€¦ https://t.co/MDgpR9udpb"
6/12/2020 16:39,en,35993,8610,...We need Corky in Washington â€“ he has my Complete and Total Endorsement! #NHSEN https://t.co/PJGJ2j9Un2
6/12/2020 16:39,en,68728,16873,"Corky Messner (@CorkyForSenate) will be a fantastic Senator for New Hampshire! A West Point graduate, he served ourâ€¦ https://t.co/bJGyBoVFxf"
6/12/2020 14:15,en,209988,50658,"Seattle Mayor says, about the anarchists takeover of her city, â€œit is a Summer of Loveâ€. These Liberal Dems donâ€™t hâ€¦ https://t.co/YZPtUSouZA"
6/12/2020 13:12,en,57604,12151,"Interview with @HARRISFAULKNER at 1:00 P.M. on @FoxNews, Outnumbered Overtime"
6/12/2020 13:09,en,160093,30042,â€œDo you think Suburban Women want to Defund the Police? I donâ€™t think so.â€ @marcthiessen
6/12/2020 13:07,en,60036,14601,A big winner. Congratulations! https://t.co/ZsL3YA33H8
6/12/2020 13:06,en,53069,16244,Hello! https://t.co/2sUGvP5daB
6/12/2020 13:04,en,104274,20955,"The Republican Party has not yet voted on a Platform. No rush. I prefer a new and updated Platform, short form, if possible."
6/12/2020 12:37,en,76133,19218,"How do you think China, Russia, Japan or others would do with him in a negotiation? We would have no Country left!!! https://t.co/3YlD1ufODX"
